TIME,GEO,CITIZEN,SEX,AGE,ASYL_APP,UNIT,Value,Flag and Footnotes
2013,Iceland,Extra-EU28,Total,Total,First time applicant,Person,0,
2014,Iceland,Extra-EU28,Total,Total,First time applicant,Person,0,
2015,Iceland,Extra-EU28,Total,Total,First time applicant,Person,360,
2016,Iceland,Extra-EU28,Total,Total,First time applicant,Person,"1,100",
2017,Iceland,Extra-EU28,Total,Total,First time applicant,Person,"1,065",
2018,Iceland,Extra-EU28,Total,Total,First time applicant,Person,730,
2009,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"2,650",
2010,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"1,915",
2011,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"1,280",
2012,Ireland,Extra-EU28,Total,Total,First time applicant,Person,940,
2013,Ireland,Extra-EU28,Total,Total,First time applicant,Person,940,
2014,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"1,440",
2015,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"3,270",
2016,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"2,235",
2017,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"2,910",
2018,Ireland,Extra-EU28,Total,Total,First time applicant,Person,"3,655",
2009,Italy,Extra-EU28,Total,Total,First time applicant,Person,"17,640",
2010,Italy,Extra-EU28,Total,Total,First time applicant,Person,"10,000",
2011,Italy,Extra-EU28,Total,Total,First time applicant,Person,"40,300",
2012,Italy,Extra-EU28,Total,Total,First time applicant,Person,"17,170",
2013,Italy,Extra-EU28,Total,Total,First time applicant,Person,"25,720",
2014,Italy,Extra-EU28,Total,Total,First time applicant,Person,"63,655",
2015,Italy,Extra-EU28,Total,Total,First time applicant,Person,"82,830",
2016,Italy,Extra-EU28,Total,Total,First time applicant,Person,"121,185",
2017,Italy,Extra-EU28,Total,Total,First time applicant,Person,"126,550",
2018,Italy,Extra-EU28,Total,Total,First time applicant,Person,"53,440",
2009,Latvia,Extra-EU28,Total,Total,First time applicant,Person,50,
2010,Latvia,Extra-EU28,Total,Total,First time applicant,Person,60,
2011,Latvia,Extra-EU28,Total,Total,First time applicant,Person,335,
2012,Latvia,Extra-EU28,Total,Total,First time applicant,Person,190,
2013,Latvia,Extra-EU28,Total,Total,First time applicant,Person,185,
2014,Latvia,Extra-EU28,Total,Total,First time applicant,Person,365,
2015,Latvia,Extra-EU28,Total,Total,First time applicant,Person,330,
2016,Latvia,Extra-EU28,Total,Total,First time applicant,Person,345,
2017,Latvia,Extra-EU28,Total,Total,First time applicant,Person,355,
2018,Latvia,Extra-EU28,Total,Total,First time applicant,Person,175,
2009,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Liechtenstein,Extra-EU28,Total,Total,First time applicant,Person,0,
